string,count
daabcaabeaadaaa,1
daabcaabeaadaab,1
daabcaabeaadbaa,2
daabcaabeaadbab,1
daabcaabeaadbba,2
daabcaabeaddbaa,1
daabcaaddaaaaca,1
daabcaadeaaaccd,1
daabcabaeaaaaca,1
daabcabaeaadbaa,1
daabcabaeaadcbc,1
daabcabbbaeabaa,1
daabcbaaaaeabaa,1
daabcbaabaeaaab,1
daabcbaacaeabab,1
daabcbaaeaaaaad,2
daabcbaaeaaaaca,1
daabcbaaeaaabcd,6
daabcbaaeaaadcd,1
daabcbaaeaadbaa,1
daabcbaaeaadbab,2
daabcbaaeaadbba,1
daabcbaaeaadbca,1
daabcbaaeadaacd,1
daabcbaaeaddaaa,1
daabcbaaeaeaaad,1
daabcbabeaaaaad,1
daabcbabeaaaacd,1
daabcbabeaaabcd,4
daabcbabeaadaaa,1
daabcbabeaadbaa,2
daabcbabeaadbab,1
daabcbabeaadbba,1
daabcbabeaeaaad,1
daabcbabeaedbbc,1
daabcbaceaaaaad,1
daabcbaceaaaaca,1
daabcbadeaaaacd,1
daabcbadeaaabcb,1
daabcbadeaadaaa,1
daabcbadeaadbac,1
daabcbbaeaaaaad,2
daabcbbaeaaaaca,2
daabcbbaeaaabad,1
daabcbbaeaaabca,1
daabcbbaeadabca,1
daabcbbaeaeaaad,1
daabcbbaeaeaaca,1
daabcbbbbaeaaaa,1
daabcbbbdaedbaa,1
daabcbbbeaaaaaa,1
daabcbbbeaaaaad,3
daabcbbbeaaabcd,1
daabcbbbeaeaaca,3
daabcbbbeaeabca,1
daabcbbceaeabca,1
daabcbbdeaaabad,1
daabccaaeabdbaa,1
daabccbaeaeabad,1
daabdaaadaeabaa,1
daabdaaaeaaaaad,1
daabdaaaeaaaaca,4
daabdaaaeaaabaa,1
daabdaaaeaaabca,2
daabdaaaeaaabcb,2
daabdaaaeaacbcd,1
daabdaaaeaadbad,1
daabdaaaeabdbcb,1
daabdaaaeaddacd,1
daabdaaaeaeabab,1
daabdaaaebaabcd,1
daabdaabaaadaaa,1
daabdaabeaaaaaa,2
daabdaabeaaaaca,1
daabdaabeaaabca,2
daabdaabeaaabcd,1
daabdaabeaadabd,1
daabdaabeaadbad,1
daabdaabeaadbca,1
daabdaabeaeaaca,1
daabdaaceaaaaba,1
daabdaaceaaaccb,1
daabdaaceaddacd,1
daabdaadeaaaaca,1
daabdaadeaadaad,1
daabdaadeaeaaba,1
daabdabadaeaaaa,1
daabdabaeaaaaca,2
daabdabaeaaabca,1
daabdabaeaeabca,1
daabdabbaaadaaa,1
daabdabbeaaaaaa,1
daabdabbeaaabaa,1
daabdabbeaaabab,1
daabdabbeaaabad,1
daabdabdcaedaca,1
daabdbaabaadaaa,1
daabdbaabaadbaa,1
daabdbaabaeaaaa,1
daabdbaaeaaaaaa,4
daabdbaaeaaaaca,3
daabdbaaeaaabad,1
daabdbaaeaaabca,1
daabdbaaeaaabcb,3
daabdbaaeaaacca,1
daabdbaaeaaadad,1
daabdbaaeaadaad,3
daabdbaaeaadbcd,1
daabdbaaeabaacb,1
daabdbaaeacaaca,1
daabdbaaeaddabd,1
daabdbaaeaeaaca,1
daabdbaaeaeabca,1
daabdbaaebaaacd,1
daabdbabeaaaaaa,3
daabdbabeaaaaca,2
daabdbabeaaaacd,3
daabdbabeaaabaa,1
daabdbabeaaabcb,1
daabdbabeaaaccb,1
daabdbabeaadaad,2
daabdbabeaadbad,1
daabdbabeababca,2
daabdbabeabdaad,1
daabdbabeaeaaca,1
daabdbabeaeabab,1
daabdbaceaadaad,1
daabdbaceaadbbd,1
daabdbadbaadbaa,1
daabdbaddaadacb,1
daabdbadeacdacd,1
daabdbbaaaeaaaa,1
daabdbbababdaaa,1
daabdbbaeaaaaaa,5
daabdbbaeaaaaad,4
daabdbbaeaaaaca,1
daabdbbaeaaaacd,1
daabdbbaeaaabaa,2
daabdbbaeaaabad,1
daabdbbaeaaabcb,1
daabdbbaeaacbcd,1
daabdbbaeaadbad,2
daabdbbaeaddacd,1
daabdbbaeaeabaa,1
daabdbbaeaeabca,1
daabdbbbeaaaaaa,1
daabdbbbeaaaaad,1
daabdbbbeaaaaca,1
daabdbbbeaaabab,2
daabdbbbeaaabca,2
daabdbbbeaaabcc,1
daabdbbbeaeabca,1
daabdcbaeaaaaad,1
daabdcbaeaaaabd,1
daabdcbaeaaabaa,1
daabdcbaeabaccc,1
daabddbaeaaaaad,1
daabddbaeaaabad,2
daabeaaadaecaca,1
daabeaaadaedaca,1
daabeaaadaedbca,1
daabeaaaeaaaaca,5
daabeaaaeaaabca,1
daabeaaaeaaabcb,1
daabeaaaeaadbaa,1
daabeaaaeaadbab,1
daabeaaaeaadbad,1
daabeaaaebaabcb,2
daabeaabdaedbca,2
daabeaabdaedbcb,1
daabeaabeaaaaca,2
daabeaabeaaabcd,1
daabeaabeaadaaa,1
daabeaabeaadbaa,2
daabeaabeabdbaa,1
daabeaabebaabca,1
daabeabadaadbaa,1
daabeabaeaaaaca,2
daabeabaeaaabca,1
daabeabbdaedaca,2
daabeabbeaaadcd,1
daabebaadaecaca,1
daabebaadaedaca,1
daabebaadaedbca,2
daabebaaeaaaaca,2
daabebaaeaaabca,4
daabebaaeaaabcb,1
daabebaaeaaabcc,1
daabebaaeaadaaa,2
daabebaaeaadbaa,2
daabebaaeaadbab,1
daabebaaeabdaab,1
daabebaaeaeabad,1
daabebaaeaedbcc,1
daabebaaebaabca,1
daabebabdaedaca,3
daabebabdaedbca,1
daabebabeaaabca,2
daabebabeaaabcb,1
daabebabeaaaccb,1
daabebabeaadaaa,3
daabebabeaadbaa,4
daabebabeaadbab,3
daabebabeaaddad,1
daabebabeaddaaa,1
daabebabeaedbcb,1
daabebacdaedbcb,1
daabebaceaadaaa,2
daabebaceaadabd,1
daabebaceaadbba,1
daabebaceaadbca,1
daabebaceabdaaa,1
daabebaddaedacb,1
daabebadeaadaaa,1
daabebbadaedaca,3
daabebbadaedbcb,1
daabebbaeaaaaca,2
daabebbaeaadaaa,1
daabebbaeaddcbb,1
daabebbaeaeabad,1
daabebbbdaedaca,1
daabebbbdaedbca,1
daabebbbeaadaaa,1
daabebbbeaadaca,1
daabebbdeaadaaa,1
daabecaaeacadcd,1
daabedaaeaedaca,1
daabedabdaedbca,1
daabedbaeaeabad,1
daacaaaaeaaaacb,1
daacaaaaeaaabcb,1
daacaaabcaadcab,1
daacaaabeaaadcd,1
daacaaabeaadaba,1
daacaaabeaadbab,1
daacaaabebaabcd,1
daacabaaeaaaaaa,1
daacabaaeaaaaad,1
daacabaaeaaaacb,1
daacabaaeaaabaa,1
daacabaaeabaaca,1
daacabaaeaeabad,1
daacababeaaaccb,1
daacababeadabcd,1
daacabadeaaaaaa,1
daacabbaeaaaaaa,2
daacabbaeaaabad,2
daacabbaeadaaad,1
daacabbaeaeaaca,2
daacabbbeaaaaca,1
daacacaaeaaabad,1
daacacaaeaaacad,1
daacacaaeaeaacb,1
daacacbaeaaaabb,1
daacacbaeaaadcc,1
daacbaadeaaaaad,1
daacbbbadaedaca,1
daacbbbaeaaabab,1
daacbbbaeaaabcc,1
daacbbbaeaaacbd,1
daacbbbbeaaaccb,1
daacbcaadaeabbc,1
daacbcaaeaaabcb,1
daacbcbaeaaabab,1
daacbcbaeaaabac,1
daacbcbaeaaabad,1
daacbcbaeaeabca,1
daaccbaaeaaaaad,1
